artist,title,year_released,rating,review,genre,query,album_id
Childish Gambino,Camp,2011,1.6,"still day cancelled cultural beautiful funniest predominant more its relevant smarter unlikable enough garish inspirational impersonal dignified obvious fit his preemptive dark humble complex material winter only due much even high exaggerated pathological insidious deaf most all educated acknowledged similar heavy easy straight right real trying false down one worse west twisted male childish white street fictional ""Community"" star Donald Glover's fourth hip-hop collection-- the first with a commercial release-- is preposterously self-obsessed, but not the least bit self-aware.",Rap,outsider rap dark praise pop electro,3593
Childish Gambino,"“Awaken, My Love!”",2016,7.2,"intricate futuristic emotional baffling hard connecting lead its sublime southern free worthy his cosmic wholesale vapid forceful same electric single striking riotous enjoyable sensitive sleeping sharp close which lush another only majestic much sonic even high delicate mysterious genuine unique most slow moved two all terrified baby wrong straight first shrieking left down observant impressive little full tropical one fulfilling open satisfying likable these childish complete period aware inspired On Donald Glover’s latest project as Childish Gambino, he ditches rap for lovingly produced funk worship, resulting in his most enjoyable project yet.",Rap,world cosmic tropical futuristic funk rap fake soul lush pop worship,3594
Cigarettes After Sex,Cigarettes After Sex,2017,7.4,"dress day unshakable far more fleeting low electric old close clear both certain similar such romantic whose dreamy elusive elastic each very lead quiet depressing loose dripping wretched contemporary several much longing even boring subdued stark heady restrained echoing general ok his substantial extra soft clever other less first pastoral one open equivalent late initial muted its head casual sweet opening somber entire slow all modern easy wet full considerable strong these cryptic boyish different overbearing nonchalant As Cigarettes After Sex, Greg Gonzalez writes modern love songs set to downbeat dream pop. Much like relationships themselves, the songs on his self-titled debut LP are full of contradictions.",Experimental,world dreamy country romantic rock swing pop ambient,3729
Cigarettes After Sex,Cry,2019,4.0,"work time biting filtered far likely pretty more second long used obvious wasted involved occasional his violet thirsty feeling electric away collapsing lovely past clear well light bleak much high other delicate scant minute less top slow future two all short similar lifeless first wet plush funny down these subterranean romantic utter pure white rich her Greg Gonzalez has a lovely voice and a convincingly atmospheric take on dream pop, neither of which is well served by his two-dimensional fantasies.",Experimental,soundtrack bassline romantic rock anime pop,3730
Clairo,Immunity,2019,8.0,"huge deeply either hard early very far pretty more viral its used fit larger popular single contemporary breezy big away past close several which lush sardonic only light much even cut bad soft other sparse less most both moved mixed subtle natural background sad easy vocal shut teenage such new little careful one least remarkable these spiritual late exhausting possible her adult On her debut album, the young viral star moves beyond the lo-fi bedroom-pop of her early recordings and into a restrained, detailed style of songwriting all her own.",Pop/R&B,distorted pop lush rock,3765
Clap Your Hands Say Yeah,Clap Your Hands Say Yeah,2005,9.0,"just either more pressing burning stuttering known both small lost two heavy vocal great shimmering true buzzing supposed barking still work neutral home lead loving garish exuberant flat smart fun away yellow past another much evil melodic possible weary redolent okay likely his same soft other singular less important maniacal necessary first elegant refreshing modest one rare particular iridescent clean muted its wheezing enough classic purring chance yawning most spacious modern throbbing new cool grave grating memorable five massive strong stumbling these thin wailing Every time it seems like conventional indie rock has gasped its last, someone builds a mansion of song that reminds us that, at its best, the genre still pulls off raw, celebratory spirit more convincingly than almost any other...",Rock,shimmering spacious metal country trembling rock gliding vintage harp pop exuberant,3776
Code Orange,Forever,2017,7.5,"half disparate major time longer haunting orange long head her hurt piercing his erratic unflinching leading musical past well due snooty even compelling high third known less most two all distinctive vocal first precocious trying mean caustic communal reserved full one twisted latter warning these tough legal each With their third LP and major-label debut, the hardcore band Code Orange offer up compelling, caustic, and occasionally even catchy evidence that they have earned their alpha-dog scene posturing.",Metal,hardcore metal fake haunting rock punk guidance pop,3899
Conor Oberst,Salutations,2017,6.6,"just immediate hard time longer inscrutable seven more later second its sustainable necessary rough final outside his flat expensive transcendental away past well only another curious salty even distressing accurate other less kind future misty life all status both extreme middle first lesser mystic strongest new tasteful down little trapped funny proof full interesting one these last late weary bitter half each For Salutations, Conor Oberst rearranged songs from 2016’s Ruminations with a full band and shuffled, expanded tracklist. It’s one of his most demanding albums, and also one of his least ambitious.",Rock,folk world meditation rock,4032
Courtney Barnett,Tell Me How You Really Feel,2018,7.4,"nameless game still just work tentative time early general more second its her long living better low sweet ripe meditative which only essential much even crippling most social kind key bigger first wet silly little complaining modest promised full palpable adventurous perturbed satisfying anonymous last rabid true witty half Courtney Barnett’s second album is smaller, more introverted than her debut. It’s tentative but with a purpose, songs about what it means to not have—or need—the right words for everything.",Rock,world country rock,4115
Craft Spells,Idle Labor,2011,7.7,"tough lonely near still just either emotional whole fantastic time more its following central casual his physical close clear ringing best written large even high social wild short all worth mini real trying separate down working left precocious taut mutual fresh brief these romantic forward upbeat party half primitive Debut album from this Stockton, Calif., bedroom producer mines the same synth-heavy 1980s indie sounds as Wild Nothing or Twin Shadow.",Rock,stride romantic punk balearic pop,4132
Crumb,Ice Melt,2021,7.5,"human afternoon oblique day work just far original anxious more general mother long its empty her free obvious interior used unnerving rough low dazed cosmic feeling inside old drunk away biographical terrific well slight curious longing even best bad high other singular most all every dreadful key such golden down little endless sleepy one four forward weary main lazy sudden On their second album, the Brooklyn quartet sinks deeper into their dread-filled chill-out sound, but they become sharper and more focused in the process.",Rock,cosmic world rock jazz soul trance rolling,4195
Crumb,Jinx,2019,7.8,"day promising languid muted time hypnotic far more lead tame lulling free depressing tidy sympathetic gauzy final rough periodic feeling inside away hazy past moving clear standing spiral only another light meandering longing twinkling concealed high experimental quality most warm both passive misty tense worth wandering first new recognizable full one dispassionate dense four dizzying romantic forward stoic wavering complete tiny beckoning corner dreamy her The New York City psych-rock quartet’s debut full-length beckons the listener with dreamy keyboards, twinkling guitar, and a recognizable buzz of stoic anxiety.",Rock,world experimental warm dense romantic rock jazz analog airy dreamy,4196
Cults,Cults,2011,8.5,"young still just work subject major live possible good pretty more lead its stale versed varying long enough cutting deep outside effective sweet big away textural which well universal giving much sonic even relatable positive powerful youthful other entire minute varied perfect kind moved signed life future sunny frustrated vocal first teenage new precocious communal memorable mean trying little dreaming rapid formal mature one brief addicted these last next forward pure daily dreamy main half adult Following their Internet hit ""Go Outside"", Cults prove they have the dexterity and songwriting to make a varied and memorable album.",Rock,pop dreamy bounce world,4232
Cults,Static,2013,6.8,"near still subject inventive major time silver extensive early various far live more befitting its animal relevant her outside abrasive limitless static former well slight which light depressive nominal even high convincing potential blunt minute relative all distinctive house masterful heavy right first new direct broken cinematic centered mean recent one romantic white whose spoken Released after extensive touring, Cults' sophomore album sidesteps presumptions about a rising, major-label band and finds contentment not in what they could be, but what they are right now. And that's moodier, louder, more atmospheric.",Rock,world noise romantic house atmospheric rising cinematic orchestral,4235
Curt Kirkwood,Snow,2005,7.2,just still timely beautiful relaxed gold early more later its long low square his pleasant same feeling electric several past sharp standing which able former light minimal even high curt evocative known official most waiting circular straight tasteful mean great left careful front woozy these last late fascinating noisy acoustic Former Meat Puppets leader shows his country-rock influences on this austere acoustic record.,Folk/Country,country rock baroque jazz minimal grunge punk pop,4271
DJ Koze,Knock Knock,2018,8.8,"nameless conventional specific work emotional time crunchy very far precise original more its head soaked used wistful liquid born blurry psychedelic fit his effective familiar away referential close only lush minimal express longing extra mundane life two all middle heavy first new individual careful full one twisted strong last dreamy her each Listening to Stefan Kozalla’s latest is an essential experience. He finds the moments that express wistful longing, burrows into them, and then blows it all up to color-saturated widescreen.",Electronic,techno world funk crunchy pop soul lush saturated minimal dreamy wistful,4375
DJ Snake,Encore,2016,5.3,huge ill game young still just work ridiculous major conventional time slick inoffensive home good very awake more pretty its unnecessary exuberant his same fun big inherent past well which much written dynamic best ludicrous humorless high other entire bad known chanting inevitable forgettable most top future life worth similar useless silly wet real predictable sure down endless modest great working appropriate uneven serious one exceptional smaller least next these barking limp computer party half useful DJ Snake is best known for his endless sugar high “Turn Down For What.” His solo album has a few successfully ridiculous tracks but mostly makes you question the need for its existence.,Electronic,edm rap exuberant,4432
Dan Deacon,Spiderman of the Rings,2007,8.7,"famous patchy human sizzling just local convulsive awesome live time various loving its folded obvious twinkly master happy classic mechanical big mobile opening balding joyous best beginning entire moved small baby middle all life straight first right great illegal cheerful incredulous twisted wanting spastic damaged cheap daft electronic gorgeous Tapping directly into the great lineage of batshit bubblegum pop, Baltimore art kid Dan Deacon's Spiderman of the Rings is one of this year's happiest, catchiest, and weirdest records, repeatedly hitting pleasure centers with track after track of gleeful, electronics-infused hyperpop and candy-coated sound experiments. Plus, you can mosh to it.",Electronic,hardcore techno gabba breakcore noise pop rock breakbeat punk electronic,4562
Dan Le Sac vs. Scroobius Pip,Angles,2008,0.2,willing bizarre introspective just ridiculous whole good more telling fat its enough free concerned fixed familiar smart inward racial sharp which well much compelling best bad other simple minute evil most black two wrong minor first right trying down great gripping horrible one rare awkward least four these wise pure criminal party corporate Fucking hell.,Electronic,pop rap sleep rock,4569
David Bowie,Low,1977,10.0,"still extensive very lucid good passing managerial tragic its opened touched low his public same physical classic dark several prodigious completed which drained another light best even bad awake exacting third mysterious objective both kind all red residential similar crashing new lyrical flushed reserved full creepy west least thin inappropriate white electronic alone cut ensuing The first album in David Bowie's Berlin Trilogy sees Bowie as a tragic figure. The album's first side is a beautiful futurist ruin, littered with holes left purposefully unfixed, while the blank, instrumental second side feels like a calculated attempt to kill the author.",Rock,world outsider electronic pop dark hollywood,4749
Death in Vegas,Scorpio Rising,2003,6.4,just timely either proportional pretty more current grandiose psychedelic celebrated his familiar musical material former well which light giving much approximate comfortable awful squiggly choice lost responsible admirable baby two alternative heavy vocal right such direct sure formal down recent interesting one latter supposed these late forward organic pretentious hefty subtitled inspired electronic Much ado is being made lately about rock bands masquerading as electronic acts. From Radiohead's voyages into squiggly experimentation ...,Electronic,trance rock atmospheric electronic rising,4963
Declan McKenna,What Do You Think About the Car?,2017,5.9,"mere previous young just floppy deeply major progressive early tempting home pretty later its vague eloquent used second obvious concerned his old muddled which written best bland twinkling female evocative most social confused confusing lost all every red super similar such interesting one numerous four The 18-year-old UK singer-songwriter Declan McKenna has been called a voice of his generation. His major label debut is scattershot, though it includes a Rostam-helmed standout.",Rock,jazz pop britpop,4976
Deerhunter,Halcyon Digest,2010,9.2,"acoustic favorite young still just work emotional double time far likely ghostly lead more its animal clanging fit boundless electric old garbled instrumental ideal past another best startling youthful other potential seamless innocent personal most platonic future moved two all stark sunny heavy highest vocal first easy right exhilarating real down endless expanded lyrical funny one these weird four frail trivial different front electronic each Deerhunter make a record about the joy of early music discovery, and in revisiting that youthful enthusiasm, they brilliantly rekindle it.",Rock,electronic punk pop ambient saxophone,5014
Deerhunter,Monomania,2013,8.3,"previous just work whole emboldened later latest wistful idiosyncratic born outside his sole fit fifth classic hazy past meditative which light raw normal ringing even excellent dynamic accessible other plain most top kind black middle straight right first new left verbal rare hilarious these true particular savvy stable fine spooky quick leather dreamy proper On Deerhunter’s swaggering fifth album, Monomania, they almost completely jettison the dreamy ambience that usually characterizes their work in favor of straight-up raw, bleeding garage rock, populating the songs with junkyards, leather jackets, and motorcycles.",Rock,pop rock neon raw wistful dreamy,5016
Dehd,Flower of Devotion,2020,8.3,"prize screaming previous just lonely upward inviting typical more sincere its his righteous biggest immense single standard close which lush yearning raw minimal sonic ringing even well only dubious exaggerated third simple quality all middle baby house worth two straight every key efficient potent rigid direct first broken crying one howling latter these last wanting spiritual thin whose different her alone Recording in a studio, the Chicago DIY trio sound newly airy and lush, but no less direct and sincere. Their confidence in their concision is the best part.",Rock,raw rock house opera minimal lush punk pop,5031
Dehd,Water,2019,7.7,just either work hard plastic longer good more current long bumpy enough effortless his puffy prior away winter well only which written best extra overall other third simple plain less personal lucky kind both two life natural melodic baby easy stacked first total crucial watertight average new lyrical left right prolific great little cool independent strong one these four level late romantic possible north her elastic booming The Chicago indie-rock trio scrape away 90 percent of what goes into a guitar album and come away with something effortless and uncomplicated.,Rock,saturated pop romantic rock,5032
Department of Eagles,In Ear Park,2008,8.3,"rich melancholy work stuffed hard languid good original east more current its eerie ambitious his cold sufficient fifth mournful classic opening complex material sharp which only sonic meandering compelling unsteady even classical high soft nice fourth straightforward less personal focused kind small wispy easy ominous new down shimmering dedicated twitchy one west these echoing late complete convoluted incredible impossible acoustic electronic threatening each After a brief hiatus, Grizzly Bear's Daniel Rossen has revived the Department of Eagles project, enlisted some of his bandmates, and created a sprawling pop record that evokes Sgt. Pepper's, Sung Tongs, Van Dyke Parks, and Gene Clark.",Experimental / Rock,folk shimmering remix pop electronic classical,5095
Destroyer,ken,2017,7.9,"economic still day desperate just cultural applicable time very original later empty enough wistful born his furious feeling united old adjacent dry musical several close which thrilling light violent best extra large less wild tense both lost two all sad divisive heavy first acrid aggressive new direct great working down full aristocratic one unfettered four last spiritual late political whose her each Elegant and perverse, Dan Bejar’s latest album slinks around in the shadows like he did on Kaputt, synthy, sleazy, and newly paranoid. He remains one of the most evocative songwriters of his generation.",Rock,punk wistful world,5153
Devendra Banhart,Cripple Crow,2005,8.4,previous native reassuring wide mother various more later its assured ethnic obvious loose his worldly old flaky classic musical usual moving excited well only slight best large fourth quality relative most less future all terrified highest such strongest golden communal recognizable little exotic afraid recent pristine smiling four last knotty white front rich pleased proper primitive Devendra Banhart's fourth album corrals the combined talents of the loose-knit freak-folk community; the result is one of the scene's most accessible and engaging records.,Folk/Country,folk stride rock,5162
Diana Ross,Diana,1980,9.5,"still work legendary time good private its everlasting colossal enough following seductive head his chic biggest old professional musical chance close which even determined seeming surprised other straightforward most top both moved lost all new dual full recent fair destroyed one fresh four white her sudden Each Sunday, Pitchfork takes an in-depth look at a significant album from the past, and any record not in our archives is eligible. Today, we revisit a landmark disco and pop album, a dazzling and fabulous collaboration between Chic and Diana Ross.",Pop/R&B,motown disco funk stride rock pop,5197
Dirty Pretty Things,Waterloo to Anywhere,2006,7.0,"velvety still work awesome hard time home bubbly pretty its head enough low ambitious his wonderful thirsty inside single closed crossed jolly vengeful dead much even round glaring magic most both small short two every formulaic important dirty sad worth commercial consistent acrid actual new tetchy theatrical down first right left massive one perturbed these least last level half otherwise This is the debut album by a new project led by Carl Barât, the less tabloid-ready ex-Libertine.",Electronic / Rock,world velvety rock drama opera bounce britpop pop,5275
Dirty Projectors,Swing Lo Magellan,2012,8.8,ragged manageable young mocking impenetrable gruff emotional immediate hard just gold work very worthwhile more general later long tragic its used poignant blank his unconcerned stringent mechanical musical profound gorgeous able intuitive which only dead due alien irrepressible female difficult genuine devastating brilliant most warm black all two structural similar dirty ornate first direct down west one critical least these late steady fitting damaged morbid aware possible acoustic her elastic identifiable Dave Longstreth guides Dirty Projectors toward their most human and least ornate release yet. It's an album of deeply appealing simplicity that mixes subtle folk protest and gorgeous paeans to young love.,Rock,folk world poetry warm steady swing,5285
Doja Cat,Hot Pink,2019,7.4,"still frantic party early bubbly capable more viral second eerie scattered enough better psychedelic his mistaken old reminiscent musical continuous soothing giving vibrant written dynamic even western pink soft humorless other potential soulful rebellious enchanting most perfect both best signed all baby every varied background intimate imaginative commercial first crucial right tasteful new sure memorable endless little fluffy down full serene serious one distinct hot silky these coy tender upbeat dreamy her cut understanding On her first full-length release since her viral breakout, the rapper-singer and songwriter proves that her real gift is her versatility.",Rap / Pop/R&B,soundtrack tender rap intimate soul punk pop dreamy,5367
Domenique Dumont,People on Sunday,2020,7.0,"game just documentary work possible mother original more merry its quiet bouncing final rough his same silent single busiest past contemplative routine normal light round even best soft sparse other known less short slow all life unchanging subdued every ordinary right ceaseless fictitious new left little placid daring five gentle one valuable stock smaller these next forward steady different present significant plodding front inspired main aimless The mysterious electronic musician, now a solo artist, scores a whimsical soundtrack to a 90-year-old German silent film. Soft, gentle, and sparse, his music is imbued with a quiet sense of wonder.",Electronic,soundtrack world steady vintage balearic pop,5379
Donnie Trumpet & the Social Experiment,Surf,2015,8.3,"older extraordinary still just whole time wide various its following ambitious his intensive outward musical chance sonic meandering overall large reflective straightforward coherent known less social personal lost all waiting diverse successful such new fiery cool smeared moral these acid devoted lighthearted official main each Donnie Trumpet and the Social Experiment serve as Chance the Rapper's touring band, and on Surf, he and the group tap into a wide-ranging, joyfully meandering spirit. The album touches on a multitude of ideas and moods, but above all, it's a celebration of friendship and a tribute to the alchemic power of collaboration.",Pop/R&B / Rap,soundtrack tribute world gospel disco funk rap rock pop,5410
Dr. Dog,Fate,2008,5.5,"huge willing just budget still time live very far good more long its accused master occasional cold dry old fifth delicious able past clear well only competent unfortunate dead sonic even other genuine less all petty similar bigger straight first real new tasteful down sloppy impressive recent meaningless full least last maximum sea preeminent whose lazy Something of a survivor album, Dr. Dog's latest finds the group-- permanently poised on the edge of a commerical breakthrough that never comes-- amping up its budget on this relatively posh-sounding record.",Rock,gospel rock punk pop rolling,5479
Drake,More Life,2017,7.8,"confident young just sour generous relaxed appealing mother more hurt its stale his biggest old big suspicious telepathic plus lush dead bleak angry even alienated other entire creative personal warm top black life every two background insulting successful all richer commercial house vocal south driven little crushed sophisticated sinuous serious one dense least next last male yelping hostile her gorgeous Drake's course correction to VIEWS bursts with energy—more South African house, more grime, more Kanye. It's a long player made for luxuriating and a total immersion into Drake's world-pop lifestyle.",Rap,warm dense house lush rising reggae,5504
Drake,Take Care,2011,8.6,"documentary still emotional time more emboldened loving its second profane engaging later his same old unrepentant drunk embarrassing frank past former only normal bad unusual insidious poetic most pleading proud vulnerable lost all two such new great little dear left endless west twisted exposed open candid aware whose proper With his penchant for poetic over-sharing, Drake is an apt avatar for the era of reality television and 24-hour self-documentation. Backed by lush and moody beats, Take Care finds him putting his talents to use on his strongest set of songs so far.",Rap,hollywood rap pop soul,5508
Drake,VIEWS,2016,6.8,"previous just still work ridiculous hard very seven more obnoxious its head synonymous poignant his cold steel feeling harsh outward musical past several sharp winter only overall common whining other entire fourth plain minute singular proud vulnerable perfect all petty two background down little recent fearless one west open revealing true worn last thematic bitter proper Drake's fourth proper album feels claustrophobic and too long and weirdly monotone, but the occasional tweaks in sound lead to a few great moments.",Rap,world soul rap,5510
Drowners,Drowners,2014,5.8,"overwhelmed near just handsome knowing time pretty second pressing its uncanny obvious economical his gritty same old big enjoyable chance past clear formative only dead due other most bothered all two neither extreme vocal likeable charming new daunting trying real impressive tight naive one brief cramped last forward present different sticky half proper overt On their self-titled debut, the New York-based post-punk band Drowners, fronted by Welsh male-model/musician Matt Hitt, recall early Strokes and Arctic Monkeys. Their willingness and ability to sound like two and only two bands is actually kind of impressive.",,gritty fake rock punk pop,5562
Drugdealer,Raw Honey,2019,7.4,"just cultural hard time far more long living burning discarded mellow lost wrong vocal little serious true rotating peculiar upbeat fitting forgotten still emotional early pretty lead following cutting collaborative musical instrumental past only dead much written pink bright stronger vast timeless funny period proper previous betrayed second his cosmic same united feeling definitive which soft wild geographic baby right abandoned modest particular savvy mad enamored lonely specific fond its enough fit sweet single breezy opening raw entire evocative plain most slow sad modern easy charming golden cool down dedicated pristine these whimsical L.A.-based auteur Michael Collins crafts a pristine portrait of early-’70s AM radio by taking inspiration not only from the period’s definitive artists, but its discarded pop detritus, too.",Electronic,soundtrack cosmic country baroque rock retro raw pop comedy,5569
Dude York,Falling,2019,5.2,unbridled hard time its empty better psychedelic rough his towering cold longest single drunk only unfortunate best bright third bored surprising two all lost similar vocal first generic real full opposed decent half proper The Seattle pop-punk band shape-shifts through ’90s alt-rock but sacrifices its personality in the process.,Rock,rock punk pop christmas breaks,5598
Earl Sweatshirt,Some Rap Songs,2018,8.8,"emotional whole east dissolving long second free born outside his reluctant same eager old odd dark threatened relatable even best clever third uncomfortable grand personal most worst future challenged life two established first new working one younger last introverted official voracious scary With his latest record, the onetime teen prodigy reemerges as the face of a new sound and scene that blurs the line between avant-garde jazz and hip-hop.",Rap,world rap dark jazz pop,5714
Earthly,Days,2015,7.8,"just daffy baffling time home early more its uncanny animal playful better exuberant rough low digital same content unlikely electronic fun unexpected colorful close moving another much sheer best even other both black two all background straight commercial first terrestrial new great endless working fluttering deliberate smallest serious one hanging consecutive impossible strange north iridescent tuneful alone adult each The North Carolina noisemakers Earthly mix the psych noise of early Animal Collective and Black Dice with the audio collages of the Books, Matmos, and Prefuse 73. Their joyful album Days doesn't make you feel like a kid so much as it reminds you how great it can be to act like one.",Electronic,electronic noise bounce exuberant,5749
Emmy the Great,Virtue,2011,6.3,still day appealing biblical more second its engaging used living free better central creaking electric brisk well clumsy another bleak compelling best nice other known less subtle two all easy vocal right such broken great bouncy interesting one frustrating least last sinister unconvincing spooky offbeat electronic her otherwise London singer-songwriter Emma-Lee Moss' second album follows a broken engagement to a man who decided to become a missionary.,Rock,electronic bouncy airy,6081
Empire of the Sun,Ice on the Dune,2013,5.6,"famous still budget early good conceivable more fat its lead cheery kingly enough nonstop effective same unlikely odd ripe popping big dark able awakening ideal which humid written even best creamy excellent alive third other less most both confusing baby every middle similar distinctive bigger straight occupied vocal first exhilarating sure theatrical endless impressive daft five demanding strong these four fascinating late repeated pure sleepy random party half unfair Empire of the Sun's follow up to their breakthrough 2008 debut Walking on a Dream was written and recorded during an endless arena-date treadmill. Now legitimately famous, the Australian duo are both more impressive and less distinctive.",Electronic / Rock,world dark rock punk pop ambient orchestral,6092
Ezra Furman,Perpetual Motion People,2015,6.9,"game still oblique just emotional whole frantic deeply home lousy anxious more playful perpetual head its enough loose long his same feeling mental old familiar manic inherent worried which well yearning even clever alive third mysterious plain fast most flying kind all life preconceived paradoxical first sick ordinary right ready down little left wiry crammed traditional hefty each Unlike the wiry, anxious music his brother Jonah writes with the Massachusetts band Krill, Ezra Furman's music hides little behind metaphor or enigma. Perpetual Motion People is a playful, hefty romp through folk, blues, and plain old rock'n'roll.",Rock,folk world blues rock sleep,6355
Father John Misty,Fear Fun,2012,7.3,"previous screaming near subject northwest precise pretty more emboldened hurt its empty engaging orange quiet loose better deep reputable his amicable content old strange fun leading musical clear well only somber which much best even billowy bad rambling alive rhythmic less perfect worst slow kind misty all every gregarious first municipal new funny down great little eighth one adventurous messy these four forward period prickly novel aware mad inspired established moody purposeful On his eighth solo LP, his first as Father John Misty, ex-Fleet Foxes drummer Josh Tillman has shaken his lonesome, somber tone in favor of something more gregarious, engaging, even funny.",Rock,disco pop hollywood reading,6441
Fleet Foxes,Fleet Foxes,2008,9.0,"older just firm work early likely wide far more current enough quiet his united rural old classic former which giant much even best rustic known blue personal most intense short lost active two red small all alternative patient vocal sure broad modest full five numerous particular mountain half Following their spectacular Sun Giant EP, Seattle-based Fleet Foxes’ full-length debut has a lot to live up to. Luckily, it more than delivers the goods: Incorporating a broad spectrum of styles—from Appalachian folk and AM country to classic rock and SoCal pop—Fleet Foxes create a personal synthesis of the music of their peers, their parents, and even their grandparents.",Folk/Country,folk sepia world country rock pop,6645
Florist,If Blue Could Be Happiness,2017,7.7,"human still just time crisp more current second its living hushed blank outside same feeling productive big away unable dark which terrifying yearning training written overall longing much soft difficult blue poetic quality most choice short waiting terrified life all two intimate animated first vocal timeless new trying broken left direct one these fine unfamiliar wise mountain her half cut disarming The second full-length from New York folk-pop trio Florist distills their sound to its essence. It finds beauty in simplicity and strength in fragility, full of songs that are quietly commanding.",Folk/Country,folk world dark crisp intimate pop,6699
Florist,The Birds Outside Sang,2016,7.3,"just melancholy more burning outside old inside painful close minimal two shut frequent great friendly interesting last stoic whose half skilled deeply work early very later following able only dead much even alive bright natural detached glass haunting second interior unable moving which light other perfect first goofy one quick young plastic its stale head soaked fixed cold single dark big high entire mundane personal most minute slow all real new left memorable tall full exterior these white spare her The Birds Outside Sang is an unassuming, deeply personal record that manages to shoehorn some big ideas into three-minute pop songs. It’s an album that invites us to appreciate the mundane, to look out at the world and be awed by the majesty and fragility of it all.",Folk/Country,folk world dark pop haunting soul minimal healing,6700
Flume,Skin,2016,6.4,"famous human young just still either gruff upper languid more lead second opened ok loose born earnest low his mathematical old prior single instrumental former which only best female awake halting mundane quality flying numb future all waiting sleepless first great tearing little friendly skittish distinct next persistent four level these alike repeated frivolous fatigued her groggy cut The young Australian DJ/Producer's profile has grown immensely in the past few years. On his new album, he recruits an all-star cast including Beck, Little Dragon, Vince Staples, and more.",Electronic,pop world glitchy atmospheric,6708
Foster the People,Sacred Hearts Club,2017,5.5,"pumped game ill still just work alone gold home inscrutable original more its floating regrettable final horrifying his striped single opening lovely former another written nice high third cute moved bored two waiting super all heavy commercial vocal smeared lateral rapid one sacred hot unhurried ruthless last upbeat thematic street loyal tired eight Mark Foster enlists more beat-filled haze for his third album, a tuneful but confounding modern pop event that lands somewhere between the Beach Boys and Just Blaze.",Electronic / Rock,afrobeat rap pop floating tribute electro,6802
Four Tet,"Live at Alexandra Palace London, 8th and 9th May 2019",2019,7.7,"human neat just extended still hard live beautiful clandestine muscular good combined more implicit lulling wistful enough tumultuous his forceful same stately sweet extension reminiscent away locked cooing trick close only lush much dynamic flickering high most mixed distracting two distinctive sentimental first teenage new wordless daft placid modest impressive rapid massive one trim wrinkled four last snapping visual level official electronic eight designer Kieran Hebden’s new live album reminds us that he is a stellar performer, not just a producer.",Electronic,trance noise ambient punk analog lush harp electronic wistful,6814
Foxes in Fiction,Swung From the Branches,2010,7.3,near desperate work major hard cohesive hypnotic home good wide pretty more seven its exact head used failed outside his same feeling learned main static former well only thrilling sonic flickering rambling minute most both slow certain waiting every all key two short first encouraged new broken down serene springy absorbing open latter greatest transparent undistinguished strange unsettling dreamy tough redolent otherwise This promising project from Toronto is indebted to the atmospheric dream pop of Atlas Sound but manages to carve out its own identity.,Pop/R&B,world poetry noise drone downtempo pop dreamy breaks,6834
Foxwarren,Foxwarren,2018,7.3,half still day work whole emotional live time haunting more lead its macabre eerie long wistful poignant low his physical steel feeling away glum conflicting close glittering past which ringing brooding even other luminescent whimsical helpless spacious accepting both lost life unfaithful wrong house all hollow stronger patient minor mild broken lyrical gentle one brief these last comforted distant party forgotten sturdy continuous Songwriter Andy Shauf puts his solo success on hold for an atmospheric rock record with his friends—appropriate for these tunes about seeking solace in a lonely world.,Rock,world spacious haunting house wistful brooding orchestral,6838
Foxygen,...And Star Power,2014,7.0,detailed double party very heated lucid bleary telling following its enough free unruly unwieldy popular inside single reminiscent opening past several which only giving much even magic outer warm less lost all worth two kitchen nostalgic sleepless crashing actual such new one pristine critical true four acid brown subtitled random deranged Foxygen seemed to pack a career’s worth of triumphs and travesties into the last two years. ...And Star Power translates all the exhilaration and exhaustion the band has experienced into an unwieldy 24-song splatter that often sounds like a band at war with itself.,Rock,folk poetry warm country rock nostalgic punk pop,6839
Foxygen,We Are the 21st Century Ambassadors of Peace & Magic,2013,8.4,"near still fantastic time early more lead assured ok enough public disjointed unwieldy big opening lovely which terrifying yearning meticulous simultaneous much meandering even seeming high blue magic blurred endearing kind certain two swift background key vocal shut demented mountain direct cool great working down one talented these next period different effortless witty surprising green The L.A. duo's second album seems to be reporting from three simultaneous decades of rock history. But having a great record collection and having some idea what to do with it are two different things, and on W**e Are The Ambassadors Foxygen have internalized enough of the music they love to start toying with it.",Rock,broadway rock retro merseybeat soul pop,6843
Frank Ocean,Channel Orange,2012,9.5,major time early good far telling orange gifted his languishing old away frank lofty competent well which deadpan cross powerful avian unique brilliant most wild crackling both lost all every varied first right mystic down endless serene promised crunching calm last white her proper Frank Ocean has quickly proven himself to be among the most gifted singer-songwriters of his generation. His major-label debut swings from Stevie-style keyboard breeziness to 90s R&B to mystic psych rock to crunching 8-bit funk without thinking twice. It already feels like a classic.,Pop/R&B,pop funk rock,6862
Frankie Cosmos,Next Thing,2016,8.5,just work whole time seven private its long bordering uncanny idiosyncratic free square outside salient feeling sweet close utilitarian fearful which universal well momentary written even seeming pink other uncomfortable unique minute most all two life important melodic intimate straight vocal right first wet new ordinary sure mature grinning one understated next these silky greatest weird radical drowsy corner strange convinced her half each Frankie Cosmos is the low-key indie pop project of Greta Kline. Her greatest talent is her ability to transform short songs into experiences that resemble hours of impressionistic conversation.,Rock,pop intimate poetry,6871
